participant_id	bss_1	bss_2	bss_3	bss_4	bss_5	bss_6	bss_7	bss_8	bss_complete
sub-97485	3	4	3	2	4	3	4	3	2
sub-97994	5	4	4	3	4	4	4	5	2
sub-98314	1	1	4	1	4	4	2	2	2
sub-98394	5	4	4	4	3	2	3	1	2
sub-98422	5	3	3	4	4	3	4	5	2
sub-98535	5	5	5	5	5	1	1	5	2
sub-98567	4	2	5	4	2	4	2	1	2
sub-98831	3	5	3	3	5	3	5	4	2
sub-98871	4	5	4	4	2	1	3	5	2
sub-99352	5	5	3	5	5	3	4	5	2
sub-99604	5	4	3	5	3	5	3	5	2
sub-99949	5	5	3	3	2	3	4	4	2
sub-99964	1	4	1	1	1	1	5	1	2
